offer_id,current_title,new_title,brand
GD9S960804CN,"Goodman 80,000 BTU Gas Furnace 96% AFUE Single-Stage Downflow - GD9S960804CN","80,000 BTU Gas Furnace 96% AFUE Single-Stage Downflow - GD9S960804CN - Goodman",goodman
"GLXS5BA4810, GR9S800804CNA, CHPTA4830C3",GOODMAN 4 Ton 15.2 SEER2 R-32 80% AFUE AC System (Horizontal Coil),4 Ton 15.2 SEER2 R-32 80% AFUE AC System (Horizontal Coil) - Goodman,goodman
11388226215903968063,Goodman GLZS4BA1810 1.5 Ton R-32 Heat Pump,GLZS4BA1810 1.5 Ton R-32 Heat Pump - Goodman,goodman
GPCH33031,Goodman 2.5 Ton 13.4 SEER2 Packaged Air Conditioner - GPCH33031,2.5 Ton 13.4 SEER2 Packaged Air Conditioner - GPCH33031 - Goodman,goodman
RP14AY36AJ2NA,RHEEM 3.0 Ton 14.3 SEER2 Two-Stage Heat Pump,3.0 Ton 14.3 SEER2 Two-Stage Heat Pump - Rheem,rheem
GLXS4BA4810,Goodman GLXS4BA4810 4 Ton R-32 Air Conditioner,GLXS4BA4810 4 Ton R-32 Air Conditioner - Goodman,goodman
"S-GLZS4BA4810,S-GR9S800804CNA,S-CHPTA4830C3",SOLACE 4 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),4 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil) - Solace,solace
"S-GLZS5BA1810,S-GR9S920403ANA,S-CHPTA2426B3",SOLACE 1.5 Ton 15.2 SEER2 R-32 92% AFUE Dual Fuel System (Horizontal Coil),1.5 Ton 15.2 SEER2 R-32 92% AFUE Dual Fuel System (Horizontal Coil) - Solace,solace
S-GRVT800803BN,"Solace 80,000 BTU 80% AFUE Gas Furnace - S-GRVT800803BN","80,000 BTU 80% AFUE Gas Furnace - S-GRVT800803BN - Solace",solace
GLXS5BA1810,GOODMAN 1.5 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA1810,1.5 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA1810 - Goodman,goodman
